2025-04-13 15:04:13 us=543415 DEPRECATED OPTION: --cipher set to 'AES-256-CBC' but missing in --data-ciphers (AES-256-GCM:AES-128-GCM:CHACHA20-POLY1305). OpenVPN ignores --cipher for cipher negotiations. 
2025-04-13 15:04:13 us=544476 Note: Kernel support for ovpn-dco missing, disabling data channel offload.
2025-04-13 15:04:13 us=544492 WARNING: file '/usr/local/cyberghost/certs/openvpn/client.key' is group or others accessible
2025-04-13 15:04:13 us=544508 Current Parameter Settings:
2025-04-13 15:04:13 us=544512   config = '[UNDEF]'
2025-04-13 15:04:13 us=544516   mode = 0
2025-04-13 15:04:13 us=544519   persist_config = DISABLED
2025-04-13 15:04:13 us=544522   persist_mode = 1
2025-04-13 15:04:13 us=544525   show_ciphers = DISABLED
2025-04-13 15:04:13 us=544529   show_digests = DISABLED
2025-04-13 15:04:13 us=544532   show_engines = DISABLED
2025-04-13 15:04:13 us=544535   genkey = DISABLED
2025-04-13 15:04:13 us=544538   genkey_filename = '[UNDEF]'
2025-04-13 15:04:13 us=544541   key_pass_file = '[UNDEF]'
2025-04-13 15:04:13 us=544544   show_tls_ciphers = DISABLED
2025-04-13 15:04:13 us=544547   connect_retry_max = 0
2025-04-13 15:04:13 us=544551 Connection profiles [0]:
2025-04-13 15:04:13 us=544554   proto = tcp-client
2025-04-13 15:04:13 us=544557   local = '[UNDEF]'
2025-04-13 15:04:13 us=544560   local_port = '[UNDEF]'
2025-04-13 15:04:13 us=544563   remote = 'toronto-s401-i08.cg-dialup.net'
2025-04-13 15:04:13 us=544566   remote_port = '443'
2025-04-13 15:04:13 us=544570   remote_float = DISABLED
2025-04-13 15:04:13 us=544573   bind_defined = DISABLED
2025-04-13 15:04:13 us=544576   bind_local = DISABLED
2025-04-13 15:04:13 us=544579   bind_ipv6_only = DISABLED
2025-04-13 15:04:13 us=544582   connect_retry_seconds = 1
2025-04-13 15:04:13 us=544585   connect_timeout = 120
2025-04-13 15:04:13 us=544588   socks_proxy_server = '[UNDEF]'
2025-04-13 15:04:13 us=544591   socks_proxy_port = '[UNDEF]'
2025-04-13 15:04:13 us=544594   tun_mtu = 1500
2025-04-13 15:04:13 us=544597   tun_mtu_defined = ENABLED
2025-04-13 15:04:13 us=544600   link_mtu = 1500
2025-04-13 15:04:13 us=544604   link_mtu_defined = DISABLED
2025-04-13 15:04:13 us=544607   tun_mtu_extra = 0
2025-04-13 15:04:13 us=544610   tun_mtu_extra_defined = DISABLED
2025-04-13 15:04:13 us=544613   tls_mtu = 1250
2025-04-13 15:04:13 us=544616   mtu_discover_type = -1
2025-04-13 15:04:13 us=544619   fragment = 0
2025-04-13 15:04:13 us=544622   mssfix = 1492
2025-04-13 15:04:13 us=544625   mssfix_encap = ENABLED
2025-04-13 15:04:13 us=544628   mssfix_fixed = DISABLED
2025-04-13 15:04:13 us=544633   explicit_exit_notification = 0
2025-04-13 15:04:13 us=544636   tls_auth_file = '[UNDEF]'
2025-04-13 15:04:13 us=544639   key_direction = not set
2025-04-13 15:04:13 us=544643   tls_crypt_file = '[UNDEF]'
2025-04-13 15:04:13 us=544646   tls_crypt_v2_file = '[UNDEF]'
2025-04-13 15:04:13 us=544649 Connection profiles END
2025-04-13 15:04:13 us=544652   remote_random = DISABLED
2025-04-13 15:04:13 us=544655   ipchange = '[UNDEF]'
2025-04-13 15:04:13 us=544658   dev = 'tun'
2025-04-13 15:04:13 us=544661   dev_type = '[UNDEF]'
2025-04-13 15:04:13 us=544664   dev_node = '[UNDEF]'
2025-04-13 15:04:13 us=544667   tuntap_options.disable_dco = ENABLED
2025-04-13 15:04:13 us=544670   lladdr = '[UNDEF]'
2025-04-13 15:04:13 us=544674   topology = 1
2025-04-13 15:04:13 us=544677   ifconfig_local = '[UNDEF]'
2025-04-13 15:04:13 us=544680   ifconfig_remote_netmask = '[UNDEF]'
2025-04-13 15:04:13 us=544683   ifconfig_noexec = DISABLED
2025-04-13 15:04:13 us=544686   ifconfig_nowarn = DISABLED
2025-04-13 15:04:13 us=544689   ifconfig_ipv6_local = '[UNDEF]'
2025-04-13 15:04:13 us=544692   ifconfig_ipv6_netbits = 0
2025-04-13 15:04:13 us=544695   ifconfig_ipv6_remote = '[UNDEF]'
2025-04-13 15:04:13 us=544698   shaper = 0
2025-04-13 15:04:13 us=544702   mtu_test = 0
2025-04-13 15:04:13 us=544705   mlock = DISABLED
2025-04-13 15:04:13 us=544708   keepalive_ping = 0
2025-04-13 15:04:13 us=544711   keepalive_timeout = 0
2025-04-13 15:04:13 us=544714   inactivity_timeout = 0
2025-04-13 15:04:13 us=544717   session_timeout = 0
2025-04-13 15:04:13 us=544724   inactivity_minimum_bytes = 0
2025-04-13 15:04:13 us=544730   ping_send_timeout = 15
2025-04-13 15:04:13 us=544734   ping_rec_timeout = 60
2025-04-13 15:04:13 us=544737   ping_rec_timeout_action = 2
2025-04-13 15:04:13 us=544740   ping_timer_remote = DISABLED
2025-04-13 15:04:13 us=544743   remap_sigusr1 = 0
2025-04-13 15:04:13 us=544746   persist_tun = ENABLED
2025-04-13 15:04:13 us=544749   persist_local_ip = DISABLED
2025-04-13 15:04:13 us=544752   persist_remote_ip = DISABLED
2025-04-13 15:04:13 us=544756   persist_key = ENABLED
2025-04-13 15:04:13 us=544759   passtos = DISABLED
2025-04-13 15:04:13 us=544762   resolve_retry_seconds = 1000000000
2025-04-13 15:04:13 us=544765   resolve_in_advance = DISABLED
2025-04-13 15:04:13 us=544768   username = '[UNDEF]'
2025-04-13 15:04:13 us=544771   groupname = '[UNDEF]'
2025-04-13 15:04:13 us=544774   chroot_dir = '[UNDEF]'
2025-04-13 15:04:13 us=544777   cd_dir = '[UNDEF]'
2025-04-13 15:04:13 us=544780   writepid = '[UNDEF]'
2025-04-13 15:04:13 us=544783   up_script = '/usr/local/cyberghost/update-systemd-resolved'
2025-04-13 15:04:13 us=544787   down_script = '/usr/local/cyberghost/update-systemd-resolved'
2025-04-13 15:04:13 us=544790   down_pre = ENABLED
2025-04-13 15:04:13 us=544793   up_restart = ENABLED
2025-04-13 15:04:13 us=544796   up_delay = DISABLED
2025-04-13 15:04:13 us=544799   daemon = ENABLED
2025-04-13 15:04:13 us=544802   log = ENABLED
2025-04-13 15:04:13 us=544805   suppress_timestamps = DISABLED
2025-04-13 15:04:13 us=544808   machine_readable_output = DISABLED
2025-04-13 15:04:13 us=544811   nice = 0
2025-04-13 15:04:13 us=544815   verbosity = 4
2025-04-13 15:04:13 us=544818   mute = 0
2025-04-13 15:04:13 us=544821   gremlin = 0
2025-04-13 15:04:13 us=544824   status_file = '[UNDEF]'
2025-04-13 15:04:13 us=544827   status_file_version = 1
2025-04-13 15:04:13 us=544830   status_file_update_freq = 60
2025-04-13 15:04:13 us=544833   occ = ENABLED
2025-04-13 15:04:13 us=544836   rcvbuf = 0
2025-04-13 15:04:13 us=544840   sndbuf = 0
2025-04-13 15:04:13 us=544843   mark = 0
2025-04-13 15:04:13 us=544846   sockflags = 0
2025-04-13 15:04:13 us=544849   fast_io = DISABLED
2025-04-13 15:04:13 us=544852   comp.alg = 0
2025-04-13 15:04:13 us=544855   comp.flags = 24
2025-04-13 15:04:13 us=544858   route_script = '[UNDEF]'
2025-04-13 15:04:13 us=544861   route_default_gateway = '[UNDEF]'
2025-04-13 15:04:13 us=544865   route_default_metric = 0
2025-04-13 15:04:13 us=544868   route_noexec = DISABLED
2025-04-13 15:04:13 us=544871   route_delay = 5
2025-04-13 15:04:13 us=544874   route_delay_window = 20
2025-04-13 15:04:13 us=544877   route_delay_defined = ENABLED
2025-04-13 15:04:13 us=544880   route_nopull = DISABLED
2025-04-13 15:04:13 us=544883   route_gateway_via_dhcp = DISABLED
2025-04-13 15:04:13 us=544886   allow_pull_fqdn = DISABLED
2025-04-13 15:04:13 us=544889   management_addr = '[UNDEF]'
2025-04-13 15:04:13 us=544892   management_port = '[UNDEF]'
2025-04-13 15:04:13 us=544895   management_user_pass = '[UNDEF]'
2025-04-13 15:04:13 us=544899   management_log_history_cache = 250
2025-04-13 15:04:13 us=544902   management_echo_buffer_size = 100
2025-04-13 15:04:13 us=544905   management_client_user = '[UNDEF]'
2025-04-13 15:04:13 us=544908   management_client_group = '[UNDEF]'
2025-04-13 15:04:13 us=544911   management_flags = 0
2025-04-13 15:04:13 us=544914   shared_secret_file = '[UNDEF]'
2025-04-13 15:04:13 us=544917   key_direction = not set
2025-04-13 15:04:13 us=544921   ciphername = 'AES-256-CBC'
2025-04-13 15:04:13 us=544924   ncp_ciphers = 'AES-256-GCM:AES-128-GCM:CHACHA20-POLY1305'
2025-04-13 15:04:13 us=544927   authname = 'SHA256'
2025-04-13 15:04:13 us=544930   engine = DISABLED
2025-04-13 15:04:13 us=544933   replay = ENABLED
2025-04-13 15:04:13 us=544936   mute_replay_warnings = ENABLED
2025-04-13 15:04:13 us=544939   replay_window = 64
2025-04-13 15:04:13 us=544942   replay_time = 15
2025-04-13 15:04:13 us=544945   packet_id_file = '[UNDEF]'
2025-04-13 15:04:13 us=544948   test_crypto = DISABLED
2025-04-13 15:04:13 us=544954   tls_server = DISABLED
2025-04-13 15:04:13 us=544959   tls_client = ENABLED
2025-04-13 15:04:13 us=544962   ca_file = '/usr/local/cyberghost/certs/openvpn/ca.crt'
2025-04-13 15:04:13 us=544965   ca_path = '[UNDEF]'
2025-04-13 15:04:13 us=544968   dh_file = '[UNDEF]'
2025-04-13 15:04:13 us=544971   cert_file = '/usr/local/cyberghost/certs/openvpn/client.crt'
2025-04-13 15:04:13 us=544975   extra_certs_file = '[UNDEF]'
2025-04-13 15:04:13 us=544978   priv_key_file = '/usr/local/cyberghost/certs/openvpn/client.key'
2025-04-13 15:04:13 us=544981   pkcs12_file = '[UNDEF]'
2025-04-13 15:04:13 us=544984   cipher_list = '[UNDEF]'
2025-04-13 15:04:13 us=544987   cipher_list_tls13 = '[UNDEF]'
2025-04-13 15:04:13 us=544990   tls_cert_profile = '[UNDEF]'
2025-04-13 15:04:13 us=544993   tls_verify = '[UNDEF]'
2025-04-13 15:04:13 us=544996   tls_export_peer_cert_dir = '[UNDEF]'
2025-04-13 15:04:13 us=545000   verify_x509_type = 0
2025-04-13 15:04:13 us=545003   verify_x509_name = '[UNDEF]'
2025-04-13 15:04:13 us=545006   crl_file = '[UNDEF]'
2025-04-13 15:04:13 us=545009   ns_cert_type = 0
2025-04-13 15:04:13 us=545012   remote_cert_ku[i] = 65535
2025-04-13 15:04:13 us=545015   remote_cert_ku[i] = 0
2025-04-13 15:04:13 us=545018   remote_cert_ku[i] = 0
2025-04-13 15:04:13 us=545021   remote_cert_ku[i] = 0
2025-04-13 15:04:13 us=545024   remote_cert_ku[i] = 0
2025-04-13 15:04:13 us=545027   remote_cert_ku[i] = 0
2025-04-13 15:04:13 us=545030   remote_cert_ku[i] = 0
